part_id,sday_id,dayofweek,month,year,day,wave
10825601,2020.12.22,2,12,2020,22,1
10825701,2020.12.22,2,12,2020,22,1
10825801,2020.12.22,2,12,2020,22,1
10825901,2020.12.22,2,12,2020,22,1
10826001,2020.12.22,2,12,2020,22,1
10826101,2020.12.22,2,12,2020,22,1
10826201,2020.12.22,2,12,2020,22,1
10826301,2020.12.22,2,12,2020,22,1
10826401,2020.12.22,2,12,2020,22,1
10826501,2020.12.22,2,12,2020,22,1
10826601,2020.12.22,2,12,2020,22,1
10826701,2020.12.22,2,12,2020,22,1
10826801,2020.12.22,2,12,2020,22,1
10826901,2020.12.22,2,12,2020,22,1
10827001,2020.12.22,2,12,2020,22,1
10827101,2020.12.22,2,12,2020,22,1
10827201,2020.12.22,2,12,2020,22,1
10827301,2020.12.22,2,12,2020,22,1
10827401,2020.12.22,2,12,2020,22,1
10827501,2020.12.22,2,12,2020,22,1
10827601,2020.12.22,2,12,2020,22,1
10827701,2020.12.22,2,12,2020,22,1
10827801,2020.12.22,2,12,2020,22,1
10827901,2020.12.22,2,12,2020,22,1
10828001,2020.12.22,2,12,2020,22,1
10828101,2020.12.22,2,12,2020,22,1
10828201,2020.12.22,2,12,2020,22,1
10828301,2020.12.22,2,12,2020,22,1
10828401,2020.12.22,2,12,2020,22,1
10828501,2020.12.22,2,12,2020,22,1
10828601,2020.12.22,2,12,2020,22,1
10828701,2020.12.22,2,12,2020,22,1
10828801,2020.12.22,2,12,2020,22,1
10828901,2020.12.22,2,12,2020,22,1
10829001,2020.12.22,2,12,2020,22,1
10829101,2020.12.22,2,12,2020,22,1
10829201,2020.12.22,2,12,2020,22,1
10829301,2020.12.22,2,12,2020,22,1
10829401,2020.12.22,2,12,2020,22,1
10829501,2020.12.22,2,12,2020,22,1
10829601,2020.12.22,2,12,2020,22,1
10829701,2020.12.22,2,12,2020,22,1
10829801,2020.12.22,2,12,2020,22,1
10829901,2020.12.22,2,12,2020,22,1
10830001,2020.12.22,2,12,2020,22,1
10830101,2020.12.22,2,12,2020,22,1
10830201,2020.12.22,2,12,2020,22,1
10830301,2020.12.22,2,12,2020,22,1
10830401,2020.12.22,2,12,2020,22,1
10830501,2020.12.22,2,12,2020,22,1
10830601,2020.12.22,2,12,2020,22,1
10830701,2020.12.22,2,12,2020,22,1
10830801,2020.12.22,2,12,2020,22,1
10830901,2020.12.22,2,12,2020,22,1
10831001,2020.12.22,2,12,2020,22,1
10831101,2020.12.23,3,12,2020,23,1
10831301,2020.12.22,2,12,2020,22,1
10831401,2020.12.22,2,12,2020,22,1
10831501,2020.12.22,2,12,2020,22,1
10831601,2020.12.22,2,12,2020,22,1
10831701,2020.12.22,2,12,2020,22,1
10831801,2020.12.22,2,12,2020,22,1
10831901,2020.12.22,2,12,2020,22,1
10832001,2020.12.22,2,12,2020,22,1
10832101,2020.12.22,2,12,2020,22,1
10832201,2020.12.22,2,12,2020,22,1
10832301,2020.12.22,2,12,2020,22,1
10832401,2020.12.22,2,12,2020,22,1
10832501,2020.12.22,2,12,2020,22,1
10832601,2020.12.22,2,12,2020,22,1
10832701,2020.12.22,2,12,2020,22,1
10832801,2020.12.22,2,12,2020,22,1
10832901,2020.12.22,2,12,2020,22,1
10833001,2020.12.22,2,12,2020,22,1
10833101,2020.12.22,2,12,2020,22,1
10833201,2020.12.22,2,12,2020,22,1
10833301,2020.12.22,2,12,2020,22,1
10833401,2020.12.22,2,12,2020,22,1
10833501,2020.12.22,2,12,2020,22,1
10833601,2020.12.22,2,12,2020,22,1
10833701,2020.12.22,2,12,2020,22,1
10833801,2020.12.22,2,12,2020,22,1
10833901,2020.12.22,2,12,2020,22,1
10834001,2020.12.22,2,12,2020,22,1
10834101,2020.12.22,2,12,2020,22,1
10834201,2020.12.22,2,12,2020,22,1
10834301,2020.12.22,2,12,2020,22,1
10834401,2020.12.22,2,12,2020,22,1
10834501,2020.12.22,2,12,2020,22,1
10834601,2020.12.22,2,12,2020,22,1
10834701,2020.12.22,2,12,2020,22,1
10834801,2020.12.22,2,12,2020,22,1
10834901,2020.12.22,2,12,2020,22,1
10835001,2020.12.22,2,12,2020,22,1
10835101,2020.12.22,2,12,2020,22,1
10835201,2020.12.22,2,12,2020,22,1
10835301,2020.12.22,2,12,2020,22,1
10835401,2020.12.22,2,12,2020,22,1
10835501,2020.12.22,2,12,2020,22,1
10835601,2020.12.22,2,12,2020,22,1
10835701,2020.12.22,2,12,2020,22,1
10835901,2020.12.22,2,12,2020,22,1
10836001,2020.12.22,2,12,2020,22,1
10836101,2020.12.22,2,12,2020,22,1
10836201,2020.12.22,2,12,2020,22,1
10836301,2020.12.22,2,12,2020,22,1
10836401,2020.12.22,2,12,2020,22,1
10836501,2020.12.22,2,12,2020,22,1
10836601,2020.12.22,2,12,2020,22,1
10836701,2020.12.22,2,12,2020,22,1
10836801,2020.12.22,2,12,2020,22,1
10836901,2020.12.22,2,12,2020,22,1
10837001,2020.12.22,2,12,2020,22,1
10837101,2020.12.22,2,12,2020,22,1
10837201,2020.12.22,2,12,2020,22,1
10837301,2020.12.22,2,12,2020,22,1
10837401,2020.12.22,2,12,2020,22,1
10837601,2020.12.22,2,12,2020,22,1
10837701,2020.12.22,2,12,2020,22,1
10837801,2020.12.22,2,12,2020,22,1
10837901,2020.12.22,2,12,2020,22,1
10838001,2020.12.22,2,12,2020,22,1
10838201,2020.12.22,2,12,2020,22,1
10838301,2020.12.22,2,12,2020,22,1
10838401,2020.12.22,2,12,2020,22,1
10838501,2020.12.23,3,12,2020,23,1
10838601,2020.12.22,2,12,2020,22,1
10838701,2020.12.22,2,12,2020,22,1
10838801,2020.12.22,2,12,2020,22,1
10838901,2020.12.22,2,12,2020,22,1
10839001,2020.12.22,2,12,2020,22,1
10839101,2020.12.22,2,12,2020,22,1
10839201,2020.12.22,2,12,2020,22,1
10839301,2020.12.22,2,12,2020,22,1
10839401,2020.12.22,2,12,2020,22,1
10839501,2020.12.22,2,12,2020,22,1
10839601,2020.12.22,2,12,2020,22,1
10839701,2020.12.22,2,12,2020,22,1
10839801,2020.12.22,2,12,2020,22,1
10839901,2020.12.22,2,12,2020,22,1
10840001,2020.12.22,2,12,2020,22,1
10840101,2020.12.23,3,12,2020,23,1
10840201,2020.12.22,2,12,2020,22,1
10840301,2020.12.22,2,12,2020,22,1
10840401,2020.12.22,2,12,2020,22,1
10840501,2020.12.22,2,12,2020,22,1
10840601,2020.12.22,2,12,2020,22,1
10840701,2020.12.22,2,12,2020,22,1
10840801,2020.12.22,2,12,2020,22,1
10840901,2020.12.22,2,12,2020,22,1
10841001,2020.12.22,2,12,2020,22,1
10841101,2020.12.22,2,12,2020,22,1
10841201,2020.12.22,2,12,2020,22,1
10841301,2020.12.22,2,12,2020,22,1
10841401,2020.12.22,2,12,2020,22,1
10841501,2020.12.22,2,12,2020,22,1
10841601,2020.12.22,2,12,2020,22,1
10841701,2020.12.22,2,12,2020,22,1
10841801,2020.12.22,2,12,2020,22,1
10841901,2020.12.22,2,12,2020,22,1
10842001,2020.12.22,2,12,2020,22,1
10842101,2020.12.22,2,12,2020,22,1
10842301,2020.12.22,2,12,2020,22,1
10842401,2020.12.22,2,12,2020,22,1
10842501,2020.12.22,2,12,2020,22,1
10842601,2020.12.22,2,12,2020,22,1
10842701,2020.12.22,2,12,2020,22,1
10842801,2020.12.22,2,12,2020,22,1
10842901,2020.12.22,2,12,2020,22,1
10843001,2020.12.22,2,12,2020,22,1
10843101,2020.12.22,2,12,2020,22,1
10843201,2020.12.22,2,12,2020,22,1
10843301,2020.12.22,2,12,2020,22,1
10843401,2020.12.22,2,12,2020,22,1
10843501,2020.12.22,2,12,2020,22,1
10843601,2020.12.22,2,12,2020,22,1
10843701,2020.12.22,2,12,2020,22,1
10843801,2020.12.22,2,12,2020,22,1
10843901,2020.12.22,2,12,2020,22,1
10844001,2020.12.22,2,12,2020,22,1
10844101,2020.12.22,2,12,2020,22,1
10844201,2020.12.22,2,12,2020,22,1
10844301,2020.12.22,2,12,2020,22,1
10844401,2020.12.22,2,12,2020,22,1
10844501,2020.12.22,2,12,2020,22,1
10844601,2020.12.22,2,12,2020,22,1
10844701,2020.12.22,2,12,2020,22,1
10844801,2020.12.22,2,12,2020,22,1
10844901,2020.12.22,2,12,2020,22,1
10845001,2020.12.22,2,12,2020,22,1
10845201,2020.12.22,2,12,2020,22,1
10845301,2020.12.22,2,12,2020,22,1
10845401,2020.12.22,2,12,2020,22,1
10845501,2020.12.22,2,12,2020,22,1
10845601,2020.12.22,2,12,2020,22,1
10845701,2020.12.22,2,12,2020,22,1
10845801,2020.12.22,2,12,2020,22,1
10845901,2020.12.22,2,12,2020,22,1
10846001,2020.12.22,2,12,2020,22,1
10846101,2020.12.22,2,12,2020,22,1
10846201,2020.12.22,2,12,2020,22,1
10846301,2020.12.22,2,12,2020,22,1
10846401,2020.12.22,2,12,2020,22,1
10846501,2020.12.22,2,12,2020,22,1
10846601,2020.12.22,2,12,2020,22,1
10846701,2020.12.22,2,12,2020,22,1
10846801,2020.12.22,2,12,2020,22,1
10846901,2020.12.22,2,12,2020,22,1
10847001,2020.12.22,2,12,2020,22,1
10847101,2020.12.22,2,12,2020,22,1
